id	label
EPI_ISL_199474	0
EPI_ISL_8794	0
EPI_ISL_8810	0
EPI_ISL_8795	0
EPI_ISL_170529	0
EPI_ISL_8796	0
EPI_ISL_8797	0
EPI_ISL_1125	0
EPI_ISL_20804	0
EPI_ISL_8949	0
EPI_ISL_10441	0
EPI_ISL_148103	0
EPI_ISL_146018	0
EPI_ISL_22544	0
EPI_ISL_146022	0
EPI_ISL_22555	0
EPI_ISL_22558	0
EPI_ISL_138063	0
EPI_ISL_5344	0
EPI_ISL_68996	0
EPI_ISL_25201	0
EPI_ISL_8802	0
EPI_ISL_138076	0
EPI_ISL_5558	0
EPI_ISL_68841	0
EPI_ISL_22556	0
EPI_ISL_5787	0
EPI_ISL_12560	0
EPI_ISL_6625	0
EPI_ISL_6144	0
EPI_ISL_12556	0
EPI_ISL_138078	0
EPI_ISL_99434	0
EPI_ISL_138088	0
EPI_ISL_12555	0
EPI_ISL_138098	0
EPI_ISL_146036	0
EPI_ISL_31478	0
EPI_ISL_146023	0
EPI_ISL_99208	0
EPI_ISL_8799	0
EPI_ISL_146092	0
EPI_ISL_142016	0
EPI_ISL_22554	0
EPI_ISL_91542	0
EPI_ISL_328986	0
EPI_ISL_6498	0
EPI_ISL_5561	0
EPI_ISL_6497	0
EPI_ISL_6403	0
EPI_ISL_138109	0
EPI_ISL_73361	0
EPI_ISL_141377	0
EPI_ISL_25207	0
EPI_ISL_25206	0
EPI_ISL_12572	0
EPI_ISL_12571	0
EPI_ISL_12570	0
EPI_ISL_12569	0
EPI_ISL_12563	0
EPI_ISL_12562	0
EPI_ISL_12561	0
EPI_ISL_12855	0
EPI_ISL_12853	0
EPI_ISL_22517	0
EPI_ISL_22516	0
EPI_ISL_22515	0
EPI_ISL_22514	0
EPI_ISL_397934	0
EPI_ISL_138147	0
EPI_ISL_397932	0
EPI_ISL_397930	0
EPI_ISL_397925	0
EPI_ISL_397917	0
EPI_ISL_138163	0
EPI_ISL_138167	0
EPI_ISL_138166	0
EPI_ISL_138165	0
EPI_ISL_138164	0
EPI_ISL_138169	0
EPI_ISL_138168	0
EPI_ISL_21279	0
EPI_ISL_8803	0
EPI_ISL_146038	0
EPI_ISL_23353	0
EPI_ISL_25200	0
EPI_ISL_25199	0
EPI_ISL_25198	0
EPI_ISL_25197	0
EPI_ISL_29997	0
EPI_ISL_120216	0
EPI_ISL_146091	0
EPI_ISL_84453	0
EPI_ISL_84450	0
EPI_ISL_120191	0
EPI_ISL_15100	0
EPI_ISL_84449	0
EPI_ISL_137889	0
EPI_ISL_137888	0
EPI_ISL_148101	0
EPI_ISL_137887	0
EPI_ISL_146020	0
EPI_ISL_216624	0
EPI_ISL_267427	0
EPI_ISL_267436	0
EPI_ISL_25672	0
EPI_ISL_84448	0
EPI_ISL_243510	0
EPI_ISL_84444	0
EPI_ISL_33861	0
EPI_ISL_84627	0
EPI_ISL_327554	0
EPI_ISL_137890	0
EPI_ISL_64447	0
EPI_ISL_64402	0
EPI_ISL_137892	0
EPI_ISL_137894	0
EPI_ISL_243438	0
EPI_ISL_267245	0
EPI_ISL_243518	0
EPI_ISL_243539	0
EPI_ISL_243653	0
EPI_ISL_146039	0
EPI_ISL_131748	0
EPI_ISL_28841	0
EPI_ISL_243497	0
EPI_ISL_243445	0
EPI_ISL_120208	0
EPI_ISL_84443	0
EPI_ISL_82532	0
EPI_ISL_82531	0
EPI_ISL_131887	0
EPI_ISL_84660	0
EPI_ISL_131750	0
EPI_ISL_131747	0
EPI_ISL_85115	0
EPI_ISL_63571	0
EPI_ISL_85112	0
EPI_ISL_84642	0
EPI_ISL_137895	0
EPI_ISL_85119	0
EPI_ISL_84640	0
EPI_ISL_84631	0
EPI_ISL_148100	0
EPI_ISL_148099	0
EPI_ISL_146089	0
EPI_ISL_94315	0
EPI_ISL_84969	0
EPI_ISL_146043	0
EPI_ISL_146024	0
EPI_ISL_243383	0
EPI_ISL_83533	0
EPI_ISL_216649	0
EPI_ISL_216648	0
EPI_ISL_141150	0
EPI_ISL_141106	0
EPI_ISL_146087	0
EPI_ISL_146041	0
EPI_ISL_146090	0
EPI_ISL_181058	0
EPI_ISL_181054	0
EPI_ISL_181046	0
EPI_ISL_180871	0
EPI_ISL_180858	0
EPI_ISL_180855	0
EPI_ISL_180852	0
EPI_ISL_180837	0
EPI_ISL_180828	0
EPI_ISL_180826	0
EPI_ISL_180825	0
EPI_ISL_180824	0
EPI_ISL_180822	0
EPI_ISL_180821	0
EPI_ISL_180820	0
EPI_ISL_180819	0
EPI_ISL_180818	0
EPI_ISL_180817	0
EPI_ISL_216537	0
EPI_ISL_216536	0
EPI_ISL_216535	0
EPI_ISL_216534	0
EPI_ISL_216504	0
EPI_ISL_216502	0
EPI_ISL_216470	0
EPI_ISL_216469	0
EPI_ISL_216468	0
EPI_ISL_216467	0
EPI_ISL_216466	0
EPI_ISL_216465	0
EPI_ISL_216464	0
EPI_ISL_216463	0
EPI_ISL_216394	0
EPI_ISL_216393	0
EPI_ISL_216392	0
EPI_ISL_216391	0
EPI_ISL_216390	0
EPI_ISL_216389	0
EPI_ISL_137904	0
EPI_ISL_137903	0
EPI_ISL_85262	0
EPI_ISL_216654	0
EPI_ISL_216651	0
EPI_ISL_141105	0
EPI_ISL_94314	0
EPI_ISL_80760	0
EPI_ISL_81848	0
EPI_ISL_74835	0
EPI_ISL_146019	0
EPI_ISL_181010	0
EPI_ISL_165789	0
EPI_ISL_87297	0
EPI_ISL_142493	0
EPI_ISL_148102	0
EPI_ISL_137919	0
EPI_ISL_137917	0
EPI_ISL_137910	0
EPI_ISL_146086	0
EPI_ISL_146085	0
EPI_ISL_146042	0
EPI_ISL_146040	0
EPI_ISL_146088	0
EPI_ISL_142522	0
EPI_ISL_397561	0
EPI_ISL_142523	0
EPI_ISL_142514	0
EPI_ISL_142506	0
EPI_ISL_142505	0
EPI_ISL_142519	0
EPI_ISL_142509	0
EPI_ISL_142550	0
EPI_ISL_397550	0
EPI_ISL_142542	0
EPI_ISL_142549	0
EPI_ISL_141196	0
EPI_ISL_141195	0
EPI_ISL_94165	0
EPI_ISL_381146	0
EPI_ISL_234715	0
EPI_ISL_234720	0
EPI_ISL_234719	0
EPI_ISL_234721	0
EPI_ISL_243450	0
EPI_ISL_95398	0
EPI_ISL_76582	0
EPI_ISL_94184	0
EPI_ISL_95415	0
EPI_ISL_95413	0
EPI_ISL_76581	0
EPI_ISL_216791	0
EPI_ISL_216790	0
EPI_ISL_95412	0
EPI_ISL_95410	0
EPI_ISL_328943	0
EPI_ISL_267277	0
EPI_ISL_243543	0
EPI_ISL_181008	0
EPI_ISL_95366	0
EPI_ISL_95365	0
EPI_ISL_165790	0
EPI_ISL_141249	0
EPI_ISL_141248	0
EPI_ISL_165791	0
EPI_ISL_165788	0
EPI_ISL_149861	0
EPI_ISL_149859	0
EPI_ISL_137730	0
EPI_ISL_137739	0
EPI_ISL_137738	0
EPI_ISL_137735	0
EPI_ISL_137734	0
EPI_ISL_137733	0
EPI_ISL_137727	0
EPI_ISL_137725	0
EPI_ISL_137724	0
EPI_ISL_137726	0
EPI_ISL_137722	0
EPI_ISL_137743	0
EPI_ISL_137746	0
EPI_ISL_298609	0
EPI_ISL_137678	0
EPI_ISL_137677	0
EPI_ISL_137720	0
EPI_ISL_137717	0
EPI_ISL_137712	0
EPI_ISL_137710	0
EPI_ISL_137709	0
EPI_ISL_137721	0
EPI_ISL_137719	0
EPI_ISL_137718	0
EPI_ISL_137716	0
EPI_ISL_137715	0
EPI_ISL_137714	0
EPI_ISL_137713	0
EPI_ISL_137711	0
EPI_ISL_137708	0
EPI_ISL_149872	0
EPI_ISL_134949	0
EPI_ISL_697590	0
EPI_ISL_125799	0
EPI_ISL_243594	0
EPI_ISL_125804	0
EPI_ISL_243580	0
EPI_ISL_134986	0
